team,anno,costruttore
American Racing,2021,011
American Racing,2022,011
Angeluss MTA Team,2022,005
Aprilia Racing,2022,006
Aruba.it Racing,2022,001
Aspar Team,2021,007
Aspar Team,2021,010
Aspar Team,2021,013
Aspar Team,2022,013
Boé Owlride,2021,005
Boé SKX,2022,005
CarXpert Prüstel GP,2021,005
Cerba Promoracing Team,2021,011
CFMoto Racing Prüstel GP,2022,009
CIP Green Power,2021,005
CIP Green Power,2022,005
Ducati Lenovo Team,2021,001
Ducati Lenovo Team,2022,001
Elf Marc VDS Racing Team,2021,011
Elf Marc VDS Racing Team,2022,011
Esponsorama Racing,2021,013
Esponsorama Racing,2022,005
Flexbox HP40,2021,011
Flexbox HP40,2021,013
Flexbox HP40,2022,011
Flexbox HP40,2022,013
GasGas Aspar Team,2022,007
GasGas Aspar Team,2022,011
Gresini Racing,2022,001
Gresini Racing,2022,011
Gresini Racing,2022,013
Idemitsu Honda Team Asia,2021,002
Idemitsu Honda Team Asia,2021,011
Idemitsu Honda Team Asia,2022,002
Idemitsu Honda Team Asia,2022,011
Intact GP,2021,011
Intact GP,2021,013
Intact GP,2022,011
Intact GP,2022,013
Italtrans Racing Team,2021,011
Italtrans Racing Team,2022,011
LCR Honda,2021,002
LCR Honda,2021,013
LCR Honda,2022,002
LCR Honda,2022,013
Leopard Racing,2021,002
Leopard Racing,2022,002
Monster Energy Yamaha MotoGP,2021,003
Monster Energy Yamaha MotoGP,2022,003
Mooney VR46 Racing Team,2022,001
Mooney VR46 Racing Team,2022,011
MT Helmets – MSI,2022,005
MV Agusta Forward Racing,2021,012
MV Agusta Forward Racing,2022,012
NTS RW Racing GP,2021,014
Pertamina Mandalika SAG Team,2021,011
Pertamina Mandalika SAG Team,2022,011
Petronas Sprinta Racing,2021,002
Petronas Sprinta Racing,2021,003
Petronas Sprinta Racing,2021,011
Petronas Sprinta Racing,2021,013
Pramac Racing,2021,001
Pramac Racing,2021,013
Pramac Racing,2022,001
Pramac Racing,2022,013
QJmotor Avintia Racing Team,2022,005
QJmotor Avintia Racing Team,2022,013
Red Bull KTM Ajo,2021,005
Red Bull KTM Ajo,2021,011
Red Bull KTM Ajo,2021,013
Red Bull KTM Ajo,2022,005
Red Bull KTM Ajo,2022,011
Red Bull KTM Ajo,2022,013
Red Bull KTM Factory Racing,2021,005
Red Bull KTM Factory Racing,2022,005
Repsol Honda Team,2021,002
Repsol Honda Team,2022,002
Rivacold Snipers Team,2021,002
Rivacold Snipers Team,2022,002
RW Racing GP,2022,011
Sic58 Squadra Corse,2021,002
Sic58 Squadra Corse,2021,013
Sic58 Squadra Corse,2022,002
Sic58 Squadra Corse,2022,013
Sky Racing Team VR46,2021,001
Sky Racing Team VR46,2021,011
Speed Up,2021,010
Speed Up Racing,2022,010
Sterilgarda Husqvarna Max,2022,008
Sterilgarda Max Racing Team,2021,008
Team Bardahl VR46 Riders Academy,2021,005
Team Gresini,2021,002
Team Gresini,2021,006
Team Gresini,2021,011
Team Gresini,2021,013
Team Suzuki Ecstar,2021,004
Team Suzuki Ecstar,2022,004
Tech3 KTM Factory Racing,2021,005
Tech3 KTM Factory Racing,2021,013
Tech3 KTM Factory Racing,2022,005
Tech3 KTM Factory Racing,2022,013
VisionTrack Racing Team,2022,002
VR46 Master Camp Team,2021,011
WithU Yamaha RNF MotoGP Team,2022,003
WithU Yamaha RNF MotoGP Team,2022,013
Yamaha VR46 Master Camp Team,2022,011
