idGara,classe,posizioneCalendario,anno,data,oraInizio,numeroGiri,condizioniTracciato
000001,MotoGP,1,2022,2022-03-06,18:00:00,22,Dry
000002,MotoGP,2,2022,2022-03-20,16:15:00,20,Wet
000003,MotoGP,3,2022,2022-04-03,15:00:00,25,Dry
000004,MotoGP,4,2022,2022-04-10,13:00:00,20,Dry
000005,MotoGP,5,2022,2022-04-24,13:00:00,25,Dry
000006,MotoGP,6,2022,2022-05-01,14:00:00,25,Dry
000007,MotoGP,7,2022,2022-05-15,14:00:00,27,Dry
000008,MotoGP,8,2022,2022-05-29,14:00:00,23,Dry
000009,MotoGP,9,2022,2022-06-05,14:00:00,24,Dry
000010,MotoGP,10,2022,2022-06-19,14:00:00,30,Dry
000011,MotoGP,11,2022,2022-06-26,14:00:00,26,Dry
000012,Moto2,1,2022,2022-03-06,16:20:00,20,Dry
000013,Moto2,2,2022,2022-03-20,13:20:00,16,Dry
000014,Moto2,3,2022,2022-04-03,13:20:00,23,Dry
000015,Moto2,4,2022,2022-04-10,11:20:00,18,Dry
000016,Moto2,5,2022,2022-04-24,15:15:00,7,Dry
000017,Moto2,6,2022,2022-05-01,12:20:00,23,Dry
000018,Moto2,7,2022,2022-05-15,12:30:00,25,Dry
000019,Moto2,8,2022,2022-05-29,12:20:00,21,Dry
000020,Moto2,9,2022,2022-06-05,12:20:00,22,Dry
000021,Moto2,10,2022,2022-06-19,12:20:00,28,Dry
000022,Moto2,11,2022,2022-06-26,12:20:00,24,Dry
000023,Moto3,1,2022,2022-03-06,15:00:00,18,Dry
000024,Moto3,2,2022,2022-03-20,12:00:00,23,Dry
000025,Moto3,3,2022,2022-04-03,12:00:00,21,Dry
000026,Moto3,4,2022,2022-04-10,14:30:00,17,Dry
000027,Moto3,5,2022,2022-04-24,11:20:00,21,Dry
000028,Moto3,6,2022,2022-05-01,11:00:00,22,Dry
000029,Moto3,7,2022,2022-05-15,11:00:00,14,Wet
000030,Moto3,8,2022,2022-05-29,11:00:00,20,Dry
000031,Moto3,9,2022,2022-06-05,11:00:00,21,Dry
000032,Moto3,10,2022,2022-06-19,11:00:00,27,Dry
000033,Moto3,11,2022,2022-06-26,11:00:00,22,Dry
000034,MotoE,6,2022,2022-04-30,16:30:00,8,Dry
000035,MotoE,6,2022,2022-05-01,15:30:00,8,Dry
000036,MotoE,7,2022,2022-05-14,16:30:00,8,Dry
000037,MotoE,7,2022,2022-05-15,15:30:00,8,Dry
000038,MotoE,8,2022,2022-05-28,16:30:00,5,Wet
000039,MotoE,8,2022,2022-05-29,15:30:00,6,Dry
000040,MotoE,11,2022,2022-06-25,16:30:00,8,Dry
000041,MotoE,11,2022,2022-06-26,16:00:00,3,Wet
000042,MotoGP,1,2021,2021-03-28,20:00:00,22,Dry
000043,MotoGP,2,2021,2021-04-04,20:00:00,22,Dry
000044,MotoGP,3,2021,2021-04-18,13:00:00,25,Dry
000045,MotoGP,4,2021,2021-05-02,14:00:00,25,Dry
000046,MotoGP,5,2021,2021-05-16,14:00:00,27,Dry
000047,MotoGP,6,2021,2021-05-30,14:00:00,23,Dry
000048,MotoGP,7,2021,2021-06-06,13:00:00,24,Dry
000049,MotoGP,8,2021,2021-06-20,14:00:00,30,Dry
000050,MotoGP,9,2021,2021-06-27,14:00:00,26,Dry
000051,MotoGP,10,2021,2021-08-08,14:00:00,27,Dry
000052,MotoGP,11,2021,2021-08-15,14:00:00,28,Dry
000053,MotoGP,12,2021,2021-08-29,13:00:00,20,Dry
000054,MotoGP,13,2021,2021-09-12,14:00:00,23,Dry
000055,MotoGP,14,2021,2021-09-19,14:00:00,27,Dry
000056,MotoGP,15,2021,2021-10-03,14:00:00,20,Dry
000057,MotoGP,16,2021,2021-10-24,14:00:00,27,Dry
000058,MotoGP,17,2021,2021-11-07,13:00:00,23,Dry
000059,MotoGP,18,2021,2021-11-14,14:00:00,27,Dry
000060,Moto2,1,2021,2021-03-28,18:20:00,20,Dry
000061,Moto2,2,2021,2021-04-04,18:20:00,20,Dry
000062,Moto2,3,2021,2021-04-18,14:30:00,23,Dry
000063,Moto2,4,2021,2021-05-02,12:20:00,23,Dry
000064,Moto2,5,2021,2021-05-16,12:20:00,25,Dry
000065,Moto2,6,2021,2021-05-30,12:20:00,21,Dry
000066,Moto2,7,2021,2021-06-06,14:30:00,22,Dry
000067,Moto2,8,2021,2021-06-20,12:20:00,28,Dry
000068,Moto2,9,2021,2021-06-27,12:20:00,24,Dry
000069,Moto2,10,2021,2021-08-08,12:20:00,25,Dry
000070,Moto2,11,2021,2021-08-15,12:20:00,25,Dry
000071,Moto2,12,2021,2021-08-29,14:30:00,18,Dry
000072,Moto2,13,2021,2021-09-12,12:20:00,21,Dry
000073,Moto2,14,2021,2021-09-19,12:20:00,25,Dry
000074,Moto2,15,2021,2021-10-03,12:30:00,18,Dry
000075,Moto2,16,2021,2021-10-24,12:20:00,25,Dry
000076,Moto2,17,2021,2021-11-07,14:30:00,23,Dry
000077,Moto2,18,2021,2021-11-14,12:45:00,16,Dry
000078,Moto3,1,2021,2021-03-28,17:00:00,18,Dry
000079,Moto3,2,2021,2021-04-04,17:00:00,18,Dry
000080,Moto3,3,2021,2021-04-18,11:00:00,21,Dry
000081,Moto3,4,2021,2021-05-02,11:00:00,22,Dry
000082,Moto3,5,2021,2021-05-16,11:00:00,22,Wet
000083,Moto3,6,2021,2021-05-30,11:00:00,20,Dry
000084,Moto3,7,2021,2021-06-06,11:20:00,21,Dry
000085,Moto3,8,2021,2021-06-20,11:00:00,27,Dry
000086,Moto3,9,2021,2021-06-27,11:00:00,22,Dry
000087,Moto3,10,2021,2021-08-08,11:00:00,23,Wet
000088,Moto3,11,2021,2021-08-15,11:00:00,23,Dry
000089,Moto3,12,2021,2021-08-29,11:20:00,17,Dry
000090,Moto3,13,2021,2021-09-12,11:00:00,19,Dry
000091,Moto3,14,2021,2021-09-19,11:00:00,23,Dry
000092,Moto3,15,2021,2021-10-03,11:40:00,7,Dry
000093,Moto3,16,2021,2021-10-24,11:00:00,23,Dry
000094,Moto3,17,2021,2021-11-07,11:20:00,21,Dry
000095,Moto3,18,2021,2021-11-14,11:00:00,23,Dry
000096,MotoE,4,2021,2021-05-02,15:30:00,8,Dry
000097,MotoE,5,2021,2021-05-16,15:30:00,7,Dry
000098,MotoE,7,2021,2021-06-06,16:00:00,6,Dry
000099,MotoE,9,2021,2021-06-27,15:30:00,7,Dry
000100,MotoE,11,2021,2021-08-15,15:30:00,5,Wet
000101,MotoE,14,2021,2021-09-18,16:20:00,7,Dry
000102,MotoE,14,2021,2021-09-19,15:30:00,8,Dry
000103,MotoGP,12,2022,2022-08-07,13:00:00,20,Dry
