idGranPremio,denominazione,annoPrimaEdizione
001,Gran Premio d'Italia,1949
002,Dutch TT,1949
003,Motorrad Grand Prix Deutschland,1952
004,British Grand Prix,1977
005,Australian Motorcycle Grand Prix,1989
006,Gran Premio de España,1951
007,Motorrad Grand Prix von Österreich,1971
008,Gran Premio di San Marino e della Riviera di Rimini,1981
009,Gran Premio de la República Argentina,1961
010,Malaysia Motorcycle Grand Prix,1991
011,Grand Prix of Japan,1963
012,Grand Prix de France,1951
013,Gran Premio de la Comunitat Valenciana,1999
014,Gran Premi de Catalunya,1996
015,Grand Prix of the Americas,2013
016,Gran Premio dé Aragon,2010
017,Grand Prix of Indonesia,1996
018,Thailand Grand Prix,2018
019,Grande Prémio de Portugal,1987
020,Grand Prix of Qatar,2004
021,Grand Prix of Doha,2021
022,Grand Prix of Styria,2020
023,Gran Premio del Made in Italy e dell'Emilia-Romagna,2020
024,Grande Prémio do Algarve,2021
