classe,anno,team,punti,posizioneClassifica
Moto2,2021,American Racing,89,10
Moto2,2021,Aspar Team,192,4
Moto2,2021,Elf Marc VDS Racing Team,364,2
Moto2,2021,Flexbox HP40,56,13
Moto2,2021,Idemitsu Honda Team Asia,157,6
Moto2,2021,Italtrans Racing Team,74,11
Moto2,2021,Liqui Moly Intact GP,149,7
Moto2,2021,MV Agusta Forward Racing,19,14
Moto2,2021,NTS RW Racing GP,11,15
Moto2,2021,Pertamina Mandalika SAG Team,73,12
Moto2,2021,Petronas Sprinta Racing,123,8
Moto2,2021,Red Bull KTM Ajo,618,1
Moto2,2021,Sky Racing Team VR46,303,3
Moto2,2021,Speed Up,119,9
Moto2,2021,Team Gresini,173,5
Moto2,2022,American Racing,43,12
Moto2,2022,Elf Marc VDS Racing Team,155,4
Moto2,2022,Flexbox HP40,178,3
Moto2,2022,GasGas Aspar Team,121,6
Moto2,2022,Gresini Racing,20,13
Moto2,2022,Idemitsu Honda Team Asia,214,2
Moto2,2022,Italtrans Racing Team,107,8
Moto2,2022,Liqui Moly Intact GP,121,7
Moto2,2022,Mooney VR46 Racing Team,146,5
Moto2,2022,MV Agusta Forward Racing,5,15
Moto2,2022,Pertamina Mandalika SAG Team,61,10
Moto2,2022,Red Bull KTM Ajo,221,1
Moto2,2022,RW Racing GP,16,14
Moto2,2022,Speed Up Racing,79,9
Moto2,2022,Yamaha VR46 Master Camp Team,52,11
Moto3,2021,Aspar Team,313,2
Moto3,2021,Boé Owlride,92,11
Moto3,2021,CarXpert Prüstel GP,110,10
Moto3,2021,CIP Green Power,77,12
Moto3,2021,Esponsorama Racing,199,6
Moto3,2021,Idemitsu Honda Team Asia,19,14
Moto3,2021,Leopard Racing,288,3
Moto3,2021,Petronas Sprinta Racing,216,5
Moto3,2021,Red Bull KTM Ajo,430,1
Moto3,2021,Rivacold Snipers Team	,146,8
Moto3,2021,Sic58 Squadra Corse,76,13
Moto3,2021,Sterilgarda Max Racing Team,190,7
Moto3,2021,Team Gresini,146,9
Moto3,2021,Tech3 KTM Factory Racing,218,4
Moto3,2022,Angeluss MTA Team,51,11
Moto3,2022,Boé SKX,32,13
Moto3,2022,CFMoto Racing Prüstel GP,121,6
Moto3,2022,CIP Green Power,66,9
Moto3,2022,GasGas Aspar Team,361,1
Moto3,2022,Idemitsu Honda Team Asia,5,15
Moto3,2022,Leopard Racing,209,2
Moto3,2022,MT Helmets – MSI,85,7
Moto3,2022,QJmotor Avintia Racing Team,34,12
Moto3,2022,Red Bull KTM Ajo,155,3
Moto3,2022,Rivacold Snipers Team	,77,8
Moto3,2022,Sic58 Squadra Corse,60,10
Moto3,2022,Sterilgarda Husqvarna Max,137,4
Moto3,2022,Tech3 KTM Factory Racing,126,5
Moto3,2022,VisionTrack Racing Team,16,14
MotoGP,2021,Ducati Lenovo Team,433,1
MotoGP,2021,Esponsorama Racing,143,8
MotoGP,2021,LCR Honda,146,7
MotoGP,2021,Monster Energy Yamaha MotoGP,380,2
MotoGP,2021,Petronas Sprinta Racing,96,10
MotoGP,2021,Pramac Racing,288,4
MotoGP,2021,Red Bull KTM Factory Racing,245,6
MotoGP,2021,Repsol Honda Team,250,5
MotoGP,2021,Team Gresini,135,9
MotoGP,2021,Team Suzuki Ecstar,307,3
MotoGP,2021,Tech3 KTM Factory Racing,76,11
MotoGP,2022,Aprilia Racing,213,1
MotoGP,2022,Ducati Lenovo Team,197,2
MotoGP,2022,Gresini Racing,123,7
MotoGP,2022,LCR Honda,69,10
MotoGP,2022,Monster Energy Yamaha MotoGP,197,3
MotoGP,2022,Mooney VR46 Racing Team,107,8
MotoGP,2022,Prima Pramac Racing,184,4
MotoGP,2022,Red Bull KTM Factory Racing,164,5
MotoGP,2022,Repsol Honda Team,100,9
MotoGP,2022,Team Suzuki Ecstar,152,6
MotoGP,2022,Tech3 KTM Factory Racing,14,12
MotoGP,2022,WithU Yamaha RNF MotoGP Team,20,11
