costruttore,classe,anno,punti,posizioneClassifica
010,Moto2,2021,199,2
011,Moto2,2021,450,1
012,Moto2,2021,19,3
014,Moto2,2021,11,4
010,Moto2,2022,36,2
011,Moto2,2022,225,1
012,Moto2,2022,5,3
002,Moto3,2021,360,2
005,Moto3,2021,369,1
007,Moto3,2021,166,4
008,Moto3,2021,266,3
002,Moto3,2022,148,3
005,Moto3,2022,154,2
007,Moto3,2022,190,1
008,Moto3,2022,95,4
009,Moto3,2022,81,5
001,MotoGP,2021,357,1
002,MotoGP,2021,214,4
003,MotoGP,2021,309,2
004,MotoGP,2021,240,3
005,MotoGP,2021,205,5
006,MotoGP,2021,121,6
001,MotoGP,2022,201,1
002,MotoGP,2022,75,6
003,MotoGP,2022,147,2
004,MotoGP,2022,80,5
005,MotoGP,2022,93,4
006,MotoGP,2022,126,3
