anno,numeroProve
1949,6
1950,6
1951,8
1952,8
1953,9
1954,9
1955,8
1956,6
1957,6
1958,7
1959,8
1960,7
1961,11
1962,11
1963,12
1964,12
1965,13
1966,12
1967,13
1968,10
1969,12
1970,12
1971,12
1972,13
1973,12
1974,12
1975,12
1976,12
1977,13
1978,13
1979,13
1980,10
1981,14
1982,14
1983,12
1984,12
1985,12
1986,12
1987,15
1988,15
1989,15
1990,15
1991,15
1992,13
1993,14
1994,14
1995,13
1996,15
1997,15
1998,14
1999,16
2000,16
2001,16
2002,16
2003,16
2004,16
2005,17
2006,17
2007,18
2008,18
2009,17
2010,18
2011,18
2012,18
2013,18
2014,18
2015,18
2016,18
2017,18
2018,19
2019,19
2020,15
2021,18
2022,20
