idTeam,nome,paese,tipo
001,Aprilia Racing,Italia,Ufficiale
002,Ducati Team,Italia,Ufficiale
003,Yamaha MotoGP Racing,Giappone,Ufficiale
004,Suzuki MotoGP,Giappone,Ufficiale
005,Red Bull KTM Factory Racing,Austria,Ufficiale
006,Repsol Honda Team,Giappone,Ufficiale
007,Pramac Racing,Italia,Privato
008,Gresini Racing,Italia,Privato
009,VR46 Racing Team,Italia,Privato
010,LCR Team,Monaco,Privato
011,RNF Racing,Malesia,Privato
012,Tech3,Francia,Privato
013,Aspar Team,Spagna,Privato
014,Leopard Racing,Lussemburgo,Privato
015,Ajo Motorsport,Finlandia,Privato
016,Prüstel GP,Germania,Privato
017,Max Racing Team,Italia,Privato
018,MT Racing Team,Spagna,Privato
019,Snipers Team,Italia,Privato
020,CIP Motorsports,Francia,Privato
021,Sic58 Squadra Corse,Italia,Privato
022,Esponsorama Racing,Spagna,Privato
023,MTA Racing Team,Italia,Privato
024,VisionTrack Racing Team,Regno Unito,Privato
025,Boé Motorsports,Spagna,Privato
026,Honda Team Asia,Giappone,Privato
027,Pons Racing,Spagna,Privato
028,Marc VDS Racing Team,Belgio,Privato
029,Intact GP,Germania,Privato
030,Italtrans Racing Team,Italia,Privato
031,SAG Team,Indonesia,Privato
032,Yamaha VR46 Master Camp Team,Italia,Privato
033,American Racing,Stati Uniti,Privato
034,Speed Up Racing,Italia,Privato
035,RW Racing GP,Paesi Bassi,Privato
036,Forward Racing,Svizzera,Privato
037,Sepang Racing Team,Malesia,Privato
038,Promoracing Team,Italia,Privato
039,VR46 Riders Academy,Italia,Privato
040,Aruba.it Racing,Italia,Privato
